"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.170467204E3,4.780181358E1,9.096157495E0,5.351262970E2,3.799999952E-1,3.522656250E2,5.000000000E0,5.000000000E0
1.171467195E3,4.780182481E1,9.096164703E0,5.359308624E2,3.300000131E-1,1.072265625E2,5.000000000E0,5.000000000E0
1.172467185E3,4.780183403E1,9.096171996E0,5.343714142E2,3.300000131E-1,1.072265625E2,5.000000000E0,5.000000000E0
1.173467177E3,4.780184350E1,9.096184568E0,5.347670441E2,3.300000131E-1,4.570312500E1,5.000000000E0,5.000000000E0
1.174467174E3,4.780184350E1,9.096184568E0,5.348607941E2,0.000000000E0,5.308593750E1,5.000000000E0,5.000000000E0
1.175467173E3,4.780184350E1,9.096184568E0,5.354696808E2,0.000000000E0,5.308593750E1,5.000000000E0,5.000000000E0
1.176467172E3,4.780187376E1,9.096222539E0,5.358623810E2,4.699999988E-1,4.640625000E1,5.000000000E0,5.000000000E0
1.177467170E3,4.780187803E1,9.096226981E0,5.360532990E2,4.699999988E-1,1.072265625E2,5.000000000E0,5.000000000E0
1.178467170E3,4.780187803E1,9.096226981E0,5.362621613E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.179467169E3,4.780187803E1,9.096226981E0,5.365026398E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.180467168E3,4.780187803E1,9.096226981E0,5.365015411E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.181467168E3,4.780187803E1,9.096226981E0,5.365896759E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.182467169E3,4.780187803E1,9.096226981E0,5.365993195E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.183467168E3,4.780187803E1,9.096226981E0,5.367542267E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.184467168E3,4.780187803E1,9.096226981E0,5.368509064E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.185467169E3,4.780187803E1,9.096226981E0,5.369001007E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.186467170E3,4.780187803E1,9.096226981E0,5.365413361E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.187467170E3,4.780187803E1,9.096226981E0,5.365183868E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.188467171E3,4.780187803E1,9.096226981E0,5.363623810E2,0.000000000E0,1.072265625E2,5.000000000E0,5.000000000E0
1.189467172E3,4.780187803E1,9.096226981E0,5.361317902E2,0.000000000E0,1.072265625E2,1.000000000E1,1.000000000E1
1.190467172E3,4.780187803E1,9.096226981E0,5.365355988E2,0.000000000E0,1.072265625E2,1.000000000E1,1.000000000E1
1.191467174E3,4.780187803E1,9.096226981E0,5.373540802E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.192467175E3,4.780187803E1,9.096226981E0,5.371121368E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.193467176E3,4.780187803E1,9.096226981E0,5.371125031E2,0.000000000E0,1.202343750E2,5.000000000E0,5.000000000E0
1.194467178E3,4.780187803E1,9.096226981E0,5.363982697E2,0.000000000E0,1.202343750E2,5.000000000E0,5.000000000E0
1.195467179E3,4.780187803E1,9.096226981E0,5.365548859E2,0.000000000E0,1.202343750E2,5.000000000E0,5.000000000E0
1.196467181E3,4.780187803E1,9.096226981E0,5.361522980E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.197467182E3,4.780187803E1,9.096226981E0,5.362576447E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.198467184E3,4.780187803E1,9.096226981E0,5.350502472E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.199467185E3,4.780187803E1,9.096226981E0,5.351419220E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.200467187E3,4.780187803E1,9.096226981E0,5.349709015E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.201467189E3,4.780187803E1,9.096226981E0,5.350933380E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.202467191E3,4.780187803E1,9.096226981E0,5.347057648E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.203467193E3,4.780187803E1,9.096226981E0,5.345491486E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.204467195E3,4.780184580E1,9.096274674E0,5.344052277E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.205467198E3,4.780184580E1,9.096274674E0,5.344694366E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.206467199E3,4.780184580E1,9.096274674E0,5.344345245E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.207467201E3,4.780184580E1,9.096274674E0,5.343837433E2,0.000000000E0,1.202343750E2,1.000000000E1,1.000000000E1
1.208467204E3,4.780184580E1,9.096274674E0,5.343170929E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.209467206E3,4.780184580E1,9.096274674E0,5.348936310E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.210467207E3,4.780184580E1,9.096274674E0,5.354414825E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.211467209E3,4.780184580E1,9.096274674E0,5.360495148E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.212467211E3,4.780184580E1,9.096274674E0,5.366415558E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.213467214E3,4.780184580E1,9.096274674E0,5.370924835E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.214467217E3,4.780184580E1,9.096274674E0,5.374634552E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.215467218E3,4.780184580E1,9.096274674E0,5.380684357E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.216467221E3,4.780184580E1,9.096274674E0,5.383061066E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.217467223E3,4.780184430E1,9.096282385E0,5.387729034E2,2.700000107E-1,8.578125000E1,1.000000000E1,1.000000000E1
1.218467226E3,4.780184648E1,9.096293533E0,5.348617706E2,3.700000048E-1,8.929687500E1,1.000000000E1,1.000000000E1
1.219467228E3,4.780184648E1,9.096293533E0,5.346584015E2,0.000000000E0,8.332031250E1,1.000000000E1,1.000000000E1
1.220467230E3,4.780184648E1,9.096293533E0,5.349547882E2,0.000000000E0,8.332031250E1,1.000000000E1,1.000000000E1
1.221467233E3,4.780184648E1,9.096293533E0,5.351688995E2,0.000000000E0,8.332031250E1,1.000000000E1,1.000000000E1
1.222467235E3,4.780186978E1,9.096342651E0,5.351756134E2,4.300000072E-1,7.804687500E1,1.000000000E1,1.000000000E1
1.223467238E3,4.780186978E1,9.096342651E0,5.353166046E2,0.000000000E0,5.238281250E1,1.000000000E1,1.000000000E1
1.224467240E3,4.780186978E1,9.096342651E0,5.354079132E2,0.000000000E0,5.238281250E1,1.000000000E1,1.000000000E1
1.225467243E3,4.780186978E1,9.096342651E0,5.357814484E2,0.000000000E0,5.238281250E1,1.000000000E1,1.000000000E1
1.226467245E3,4.780186978E1,9.096342651E0,5.360089874E2,0.000000000E0,5.238281250E1,1.000000000E1,1.000000000E1
1.227467247E3,4.780186978E1,9.096342651E0,5.361686554E2,0.000000000E0,5.238281250E1,1.000000000E1,1.000000000E1
1.228467250E3,4.780190804E1,9.096382717E0,5.365016632E2,0.000000000E0,6.433593750E1,1.000000000E1,1.000000000E1
1.229467252E3,4.780190724E1,9.096408281E0,5.369655304E2,7.599999905E-1,7.136718750E1,1.000000000E1,1.000000000E1
1.230467255E3,4.780190833E1,9.096431918E0,5.363140411E2,7.599999905E-1,6.328125000E1,1.000000000E1,1.000000000E1
1.231467257E3,4.780190833E1,9.096431918E0,5.352920685E2,0.000000000E0,6.328125000E1,5.000000000E0,5.000000000E0
1.232467260E3,4.780190871E1,9.096482880E0,5.350153351E2,3.100000024E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.233467263E3,4.780191076E1,9.096495705E0,5.347835236E2,3.499999940E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.234467265E3,4.780191378E1,9.096507356E0,5.347128448E2,5.299999714E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.235467267E3,4.780191378E1,9.096507356E0,5.346924591E2,0.000000000E0,6.363281250E1,1.000000000E1,1.000000000E1
1.236467270E3,4.780191378E1,9.096507356E0,5.351522980E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.237467272E3,4.780191378E1,9.096507356E0,5.346847687E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.238467275E3,4.780191378E1,9.096507356E0,5.343336945E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.239467277E3,4.780191378E1,9.096507356E0,5.339593048E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.240467280E3,4.780191378E1,9.096507356E0,5.338771515E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.241467282E3,4.780191579E1,9.096566448E0,5.341769562E2,3.600000143E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.242467285E3,4.780191579E1,9.096566448E0,5.341751251E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.243467287E3,4.780191902E1,9.096567538E0,5.342222443E2,3.600000143E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.244467290E3,4.780192174E1,9.096570304E0,5.342670441E2,3.000000119E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.245467293E3,4.780192225E1,9.096574495E0,5.346718292E2,4.699999988E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.246467296E3,4.780192225E1,9.096574495E0,5.346942902E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.247467298E3,4.780192225E1,9.096574495E0,5.346166534E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.248467301E3,4.780192225E1,9.096574495E0,5.345401154E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.249467303E3,4.780192225E1,9.096574495E0,5.347028351E2,0.000000000E0,6.363281250E1,5.000000000E0,5.000000000E0
1.250467306E3,4.780190913E1,9.096592767E0,5.346374054E2,3.300000131E-1,6.363281250E1,5.000000000E0,5.000000000E0
1.251467308E3,4.780190657E1,9.096599137E0,5.342482452E2,3.300000131E-1,6.363281250E1,1.000000000E1,1.000000000E1
1.252467310E3,4.780190846E1,9.096599389E0,5.345956573E2,3.499999940E-1,6.363281250E1,1.000000000E1,1.000000000E1
1.253467313E3,4.780190926E1,9.096602993E0,5.356166534E2,5.799999833E-1,2.601562500E1,5.000000000E0,5.000000000E0
