"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.474675630E-1,7.683951855E-1,7.869395256E0,5.973382473E0,9.909546459E0
4.499736570E-1,7.755736113E-1,7.874181271E0,5.997310638E0,9.928342259E0
4.524796990E-1,7.731808424E-1,7.852645874E0,5.997310638E0,9.911084236E0
4.549857400E-1,7.851449251E-1,7.845467091E0,5.997310638E0,9.906338441E0
4.574918340E-1,8.138588071E-1,7.840681553E0,6.009274960E0,9.912115764E0
4.599978760E-1,8.306085467E-1,7.840681553E0,5.999703884E0,9.907706317E0
4.625039170E-1,8.428717852E-1,7.835896015E0,6.006882191E0,9.909305367E0
4.650100110E-1,8.452646136E-1,7.814360619E0,6.014060497E0,9.896849388E0
4.675160530E-1,8.572286963E-1,7.807182312E0,6.009274960E0,9.889303425E0
4.700221460E-1,8.476574421E-1,7.804789066E0,5.999703884E0,9.880774373E0
4.725281880E-1,8.596215248E-1,7.797610760E0,5.970989704E0,9.858722066E0
4.750342300E-1,8.377870321E-1,7.792825222E0,5.951847076E0,9.841468167E0
4.775403240E-1,8.282157183E-1,7.804789066E0,5.927918911E0,9.835695006E0
4.800463650E-1,7.995018363E-1,7.802396297E0,5.923133373E0,9.828534994E0
4.825524070E-1,8.018946648E-1,7.790432453E0,5.908776283E0,9.810581534E0
4.850585010E-1,7.803592682E-1,7.780860901E0,5.892026424E0,9.791155822E0
4.875645420E-1,7.731808424E-1,7.788039684E0,5.882156372E0,9.790359254E0
4.900705840E-1,7.636095285E-1,7.785646915E0,5.889334679E0,9.792020239E0
4.925766780E-1,7.564310431E-1,7.766504288E0,5.896812439E0,9.780755273E0
4.950827190E-1,7.803592682E-1,7.742575645E0,5.899205208E0,9.765093973E0
4.975887610E-1,7.731808424E-1,7.752147198E0,5.906383514E0,9.776449305E0
5.000948550E-1,7.636095285E-1,7.752147198E0,5.915955067E0,9.781483018E0
5.026008960E-1,7.636095285E-1,7.737790108E0,5.923133373E0,9.774456723E0
5.051069380E-1,7.516453862E-1,7.721040249E0,5.920740604E0,9.758821784E0
5.076130320E-1,7.683951855E-1,7.718647480E0,5.930311680E0,9.764043563E0
5.101190740E-1,7.588238716E-1,7.713861942E0,5.939883232E0,9.765331154E0
5.126251150E-1,7.731808424E-1,7.728219032E0,5.927918911E0,9.770537377E0
5.151312090E-1,7.683951855E-1,7.737790108E0,5.930311680E0,9.779183173E0
5.176372510E-1,7.731808424E-1,7.721040249E0,5.937490463E0,9.770673679E0
5.201432920E-1,7.923234105E-1,7.735397339E0,5.947061539E0,9.789366135E0
5.226493860E-1,7.923234105E-1,7.725826263E0,5.959025860E0,9.789083565E0
5.251554280E-1,8.090731502E-1,7.725826263E0,5.968596935E0,9.796281957E0
5.276614690E-1,8.258228898E-1,7.721040249E0,5.978168488E0,9.799742060E0
5.301675630E-1,8.377870321E-1,7.721040249E0,5.980561256E0,9.802217228E0
5.326736050E-1,8.620143533E-1,7.711469173E0,5.990132332E0,9.802627755E0
5.351796990E-1,8.859425783E-1,7.723433495E0,5.999703884E0,9.820018630E0
5.376857400E-1,9.074779749E-1,7.716254711E0,6.026024818E0,9.832450262E0
5.401917820E-1,9.050851464E-1,7.704290867E0,6.026024818E0,9.822843376E0
5.426978760E-1,8.979067206E-1,7.687541008E0,6.030810356E0,9.811992498E0
5.452039170E-1,8.955138922E-1,7.685148239E0,6.021239281E0,9.804018108E0
5.477099590E-1,8.979067206E-1,7.682755470E0,6.028417587E0,9.806772492E0
5.502160530E-1,8.691928387E-1,7.677969456E0,6.018846035E0,9.794550462E0
5.527220940E-1,8.377870321E-1,7.709076405E0,6.042774677E0,9.830914094E0
5.552281360E-1,8.330013752E-1,7.704290867E0,6.028417587E0,9.817932963E0
5.577342300E-1,8.282157183E-1,7.713861942E0,6.016453266E0,9.817704276E0
5.602402710E-1,7.947162390E-1,7.716254711E0,5.985346794E0,9.797782245E0
5.627463130E-1,7.660023570E-1,7.730611801E0,5.966204166E0,9.795137089E0
5.652524070E-1,7.564310431E-1,7.742575645E0,5.961418629E0,9.800927385E0
5.677584490E-1,7.444669604E-1,7.733004570E0,5.923133373E0,9.769191353E0
5.702644900E-1,7.301099896E-1,7.716254711E0,5.911169052E0,9.747592879E0
5.727705840E-1,7.181459069E-1,7.711469173E0,5.911169052E0,9.742915884E0
5.752766260E-1,7.253243923E-1,7.713861942E0,5.913562298E0,9.746793349E0
5.777826670E-1,7.492526174E-1,7.706683636E0,5.915955067E0,9.744376660E0
5.802887610E-1,7.588238716E-1,7.689933777E0,5.939883232E0,9.746440785E0
5.827948030E-1,7.636095285E-1,7.682755470E0,5.961418629E0,9.754298703E0
5.853008440E-1,7.731808424E-1,7.682755470E0,5.954239845E0,9.750667278E0
5.878069380E-1,7.755736113E-1,7.680362701E0,5.968596935E0,9.757747436E0
5.903129800E-1,7.995018363E-1,7.689933777E0,5.954239845E0,9.758445410E0
5.928190740E-1,7.971090674E-1,7.697112083E0,5.966204166E0,9.771208188E0
5.953251150E-1,8.066803217E-1,7.687541008E0,5.963811398E0,9.762994739E0
5.978311570E-1,8.090731502E-1,7.699504852E0,5.942276001E0,9.759488634E0
6.003372510E-1,7.971090674E-1,7.711469173E0,5.939883232E0,9.766491309E0
6.028432920E-1,7.899305820E-1,7.718647480E0,5.927918911E0,9.764309083E0
6.053493340E-1,7.683951855E-1,7.713861942E0,5.925526142E0,9.757354011E0
6.078554280E-1,7.660023570E-1,7.713861942E0,5.923133373E0,9.755712923E0
6.103614690E-1,7.420741320E-1,7.701898098E0,5.915955067E0,9.740042745E0
6.128675110E-1,7.301099896E-1,7.706683636E0,5.918347836E0,9.744376551E0
6.153736050E-1,7.061817646E-1,7.713861942E0,5.930311680E0,9.755560228E0
6.178796460E-1,6.990033388E-1,7.704290867E0,5.942276001E0,9.754760248E0
6.203856880E-1,7.037889361E-1,7.704290867E0,5.959025860E0,9.765316473E0
6.228917820E-1,6.870391965E-1,7.701898098E0,5.963811398E0,9.765157631E0
6.253978240E-1,6.655037999E-1,7.716254711E0,5.985346794E0,9.788148871E0
6.279038650E-1,6.607181430E-1,7.730611801E0,5.961418629E0,9.784550033E0
6.304099070E-1,6.535396576E-1,7.735397339E0,5.968596935E0,9.792223213E0
6.329160010E-1,6.463612318E-1,7.723433495E0,5.949454308E0,9.770630192E0
