"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.865956930E-1,5.458626747E-1,6.976274490E0,7.017251492E0,9.910004557E0
2.891017860E-1,5.458626747E-1,6.988238335E0,7.057929516E0,9.947251386E0
2.916078800E-1,5.626124144E-1,7.000202656E0,7.072286606E0,9.966775195E0
2.941139740E-1,5.602195859E-1,7.014858723E0,7.077072144E0,9.980332610E0
2.966200680E-1,5.410770178E-1,7.009773731E0,7.115357399E0,1.000289973E1
2.991262140E-1,5.578267574E-1,7.019644260E0,7.127321243E0,1.001924570E1
3.016323070E-1,5.530411601E-1,7.029215813E0,7.144071102E0,1.003760337E1
3.041384010E-1,5.267201066E-1,7.041179657E0,7.151249409E0,1.004967727E1
3.066444950E-1,5.219344497E-1,7.057929516E0,7.146463871E0,1.005776966E1
3.091505890E-1,5.267201066E-1,7.050751209E0,7.144071102E0,1.005128244E1
3.116567340E-1,5.099703074E-1,7.057929516E0,7.151249409E0,1.006055699E1
3.141628280E-1,5.171487927E-1,7.065107822E0,7.179963589E0,1.008638035E1
3.166689220E-1,5.362913609E-1,7.062715054E0,7.179963589E0,1.008570421E1
3.191750160E-1,5.482555032E-1,7.067500591E0,7.187141895E0,1.009480843E1
3.216811090E-1,5.578267574E-1,7.062715054E0,7.182356358E0,1.008857559E1
3.241872030E-1,5.673980713E-1,7.057929516E0,7.201498985E0,1.009940084E1
3.266932970E-1,5.745765567E-1,7.057929516E0,7.211070061E0,1.010663340E1
3.291994430E-1,5.841478109E-1,7.057929516E0,7.206284523E0,1.010376832E1
3.317055360E-1,5.697908998E-1,7.053143978E0,7.208677292E0,1.010131328E1
3.342116300E-1,5.697908998E-1,7.038786888E0,7.179963589E0,1.007080233E1
3.367177240E-1,5.793621540E-1,7.029215813E0,7.148856640E0,1.004249405E1
3.392238180E-1,5.721837282E-1,7.012166977E0,7.093822002E0,9.991005482E0
3.417299110E-1,5.554339290E-1,7.007380962E0,7.053143978E0,9.957847899E0
3.442360570E-1,5.506483316E-1,7.000202656E0,6.993024349E0,9.910017172E0
3.467421510E-1,5.315057039E-1,7.000202656E0,6.952346325E0,9.880306420E0
3.492482450E-1,5.171487927E-1,6.990631580E0,6.930810928E0,9.857611926E0
3.517543390E-1,5.219344497E-1,6.976274490E0,6.902096748E0,9.827500234E0
3.542604320E-1,5.410770178E-1,6.964310169E0,6.890132904E0,9.811641652E0
3.567665260E-1,5.554339290E-1,6.981060028E0,6.897311211E0,9.829374746E0
3.592726720E-1,5.697908998E-1,6.949953556E0,6.892525673E0,9.804765487E0
3.617787660E-1,5.841478109E-1,6.952346325E0,6.892525673E0,9.807306370E0
3.642848590E-1,5.889334679E-1,6.945167542E0,6.878168583E0,9.792415323E0
3.667909530E-1,5.937191248E-1,6.928418159E0,6.870990276E0,9.775785798E0
3.692970470E-1,6.032904387E-1,6.923632145E0,6.866204739E0,9.769616622E0
3.718031930E-1,6.224330068E-1,6.923632145E0,6.856633186E0,9.764093587E0
3.743092860E-1,6.367899179E-1,6.909275532E0,6.830312252E0,9.736362526E0
3.768153800E-1,6.415755749E-1,6.892525673E0,6.801598549E0,9.704652090E0
3.793214740E-1,6.511468887E-1,6.890132904E0,6.765706062E0,9.678465903E0
3.818275680E-1,6.463612318E-1,6.902096748E0,6.736992359E0,9.666632734E0
3.843336610E-1,6.272186637E-1,6.916453838E0,6.708278179E0,9.655658086E0
3.868397550E-1,6.104688644E-1,6.921239376E0,6.698707104E0,9.651367965E0
3.893459010E-1,6.056832075E-1,6.918846607E0,6.686742783E0,9.641048675E0
3.918519950E-1,6.128616929E-1,6.899703979E0,6.698707104E0,9.636087968E0
3.943580890E-1,6.128616929E-1,6.897311211E0,6.710670948E0,9.642697027E0
3.968641820E-1,5.721837282E-1,6.890132904E0,6.739385128E0,9.655083509E0
3.993702760E-1,5.386841893E-1,6.894918442E0,6.768098831E0,9.676633855E0
4.018763700E-1,5.219344497E-1,6.921239376E0,6.799205780E0,9.716232259E0
4.043825160E-1,5.027918816E-1,6.921239376E0,6.835097790E0,9.740375556E0
4.068886090E-1,4.884349108E-1,6.914061069E0,6.863811970E0,9.754728284E0
4.093947030E-1,4.692923427E-1,6.909275532E0,6.909275532E0,9.782454296E0
4.119007970E-1,4.501497746E-1,6.928418159E0,6.969096184E0,9.837373360E0
4.144068910E-1,4.381856322E-1,6.937989235E0,7.007380962E0,9.870718780E0
4.169129840E-1,4.381856322E-1,6.952346325E0,7.026822567E0,9.894612749E0
4.194191300E-1,4.190430641E-1,6.969096184E0,7.038786888E0,9.914051622E0
4.219252240E-1,4.334000051E-1,6.995417118E0,7.067500591E0,9.953555185E0
4.244313180E-1,4.166502357E-1,6.995417118E0,7.084250450E0,9.964740966E0
4.269374110E-1,4.166502357E-1,7.002595425E0,7.072286606E0,9.961283950E0
4.294435050E-1,4.166502357E-1,7.002595425E0,7.079464912E0,9.966381668E0
4.319495990E-1,4.118646085E-1,7.007380962E0,7.074679375E0,9.966148136E0
4.344557450E-1,3.927220106E-1,7.004988194E0,7.072286606E0,9.961994178E0
4.369618390E-1,3.903291821E-1,6.995417118E0,7.081857681E0,9.961973988E0
4.394679320E-1,3.999004960E-1,6.995417118E0,7.072286606E0,9.955552164E0
4.419740260E-1,3.951148391E-1,7.002595425E0,7.079464912E0,9.965504597E0
4.444801200E-1,3.951148391E-1,6.993024349E0,7.077072144E0,9.957080667E0
4.469862140E-1,3.999004960E-1,6.988238335E0,7.060322285E0,9.942009163E0
4.494923590E-1,3.927220106E-1,6.997809887E0,7.043572426E0,9.936573167E0
4.519984530E-1,4.022932947E-1,6.995417118E0,7.055536747E0,9.943756802E0
4.545045470E-1,4.262215197E-1,6.978667259E0,7.081857681E0,9.951691802E0
4.570106410E-1,4.286143482E-1,6.964310169E0,7.086643219E0,9.945141452E0
4.595167340E-1,4.286143482E-1,6.964310169E0,7.077072144E0,9.938323627E0
4.620228280E-1,4.573282301E-1,6.945167542E0,7.065107822E0,9.917673610E0
4.645289740E-1,4.692923427E-1,6.937989235E0,7.048357964E0,9.901276681E0
4.670350680E-1,4.692923427E-1,6.885347366E0,7.041179657E0,9.859333376E0
4.695411610E-1,5.099703074E-1,6.875775814E0,7.038786888E0,9.852963190E0
4.720472550E-1,5.171487927E-1,6.868597507E0,7.029215813E0,9.841491225E0
4.745533490E-1,5.626124144E-1,6.839883327E0,7.009773731E0,9.810069542E0
4.770594950E-1,5.721837282E-1,6.827919483E0,6.988238335E0,9.786897042E0
4.795655890E-1,5.841478109E-1,6.796812534E0,6.978667259E0,9.759082232E0
4.820716820E-1,5.889334679E-1,6.813562393E0,6.966702938E0,9.762500957E0
4.845777760E-1,5.626124144E-1,6.806384087E0,6.957131863E0,9.749106668E0
4.870838700E-1,5.554339290E-1,6.789634228E0,6.959524632E0,9.738717723E0
4.895899640E-1,5.410770178E-1,6.770491600E0,6.947560310E0,9.716013334E0
4.920961090E-1,5.291129351E-1,6.756134510E0,6.945167542E0,9.703641904E0
4.946022030E-1,5.195416212E-1,6.748956203E0,6.926024914E0,9.684428452E0
4.971082970E-1,5.027918816E-1,6.732206345E0,6.916453838E0,9.665026417E0
4.996143910E-1,4.740779996E-1,6.720242500E0,6.916453838E0,9.655244322E0
5.021204840E-1,4.668995142E-1,6.710670948E0,6.947560310E0,9.670558102E0
5.046265780E-1,4.645066857E-1,6.710670948E0,6.966702938E0,9.684204710E0
5.071326720E-1,4.453641176E-1,6.722635269E0,6.983452797E0,9.703648135E0
5.096388180E-1,4.286143482E-1,6.701099873E0,6.995417118E0,9.696613348E0
5.121449110E-1,4.262215197E-1,6.701099873E0,7.014858723E0,9.710543094E0
5.146510050E-1,4.238287210E-1,6.703492641E0,7.022037029E0,9.717275771E0
5.171570990E-1,3.903291821E-1,6.715456963E0,7.019644260E0,9.722403233E0
5.196631930E-1,3.520440459E-1,6.717849731E0,7.034001350E0,9.732965377E0
5.221693390E-1,3.376871049E-1,6.705885410E0,7.048357964E0,9.734592015E0
5.246754320E-1,3.137588799E-1,6.710670948E0,7.089035988E0,9.766574653E0
5.271815260E-1,2.994019389E-1,6.701099873E0,7.098607540E0,9.766504494E0
5.296876200E-1,2.826521695E-1,6.701099873E0,7.108178616E0,9.772964493E0
