"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.339599520E-1,5.362913609E-1,9.820742607E0,-4.357928336E-1,9.845024590E0
6.364658900E-1,5.051847100E-1,9.808479309E0,-4.310071766E-1,9.830933075E0
6.389718270E-1,4.836492836E-1,9.789336205E0,-4.668995142E-1,9.812390897E0
6.414778690E-1,4.477569461E-1,9.774979591E0,-5.003990531E-1,9.798015692E0
6.439838580E-1,4.310071766E-1,9.763015747E0,-5.171487927E-1,9.786198779E0
6.464898480E-1,3.759722710E-1,9.741479874E0,-5.793621540E-1,9.765932919E0
6.489957850E-1,3.329014480E-1,9.736694336E0,-6.798607111E-1,9.766076518E0
6.515017230E-1,2.970091105E-1,9.712766647E0,-7.612167001E-1,9.747076547E0
6.540077650E-1,2.464607358E-1,9.684052467E0,-8.210372925E-1,9.721919426E0
6.565137540E-1,1.818545163E-1,9.686445236E0,-8.548358679E-1,9.725792345E0
6.590197440E-1,1.268195957E-1,9.686445236E0,-8.739784956E-1,9.726620324E0
6.615256810E-1,6.221338734E-2,9.700801849E0,-8.377870321E-1,9.737110153E0
6.640316190E-1,-4.785645287E-3,9.712766647E0,-7.779664397E-1,9.743874518E0
6.665376600E-1,-6.460621208E-2,9.736694336E0,-7.157530785E-1,9.763180477E0
6.690436500E-1,-8.135596663E-2,9.736694336E0,-6.367899179E-1,9.757834636E0
6.715495880E-1,-8.853443712E-2,9.763015747E0,-5.578267574E-1,9.779339728E0
6.740555250E-1,-5.982056633E-2,9.777372360E0,-5.219344497E-1,9.791476106E0
6.765615670E-1,7.178467698E-3,9.765408516E0,-5.291129351E-1,9.779734941E0
6.790675560E-1,7.417750359E-2,9.770194054E0,-5.410770178E-1,9.785446259E0
6.815735460E-1,1.435693651E-1,9.765408516E0,-5.673980713E-1,9.782931882E0
6.840794830E-1,1.914258152E-1,9.782157898E0,-5.626124144E-1,9.800193351E0
6.865854210E-1,2.632105052E-1,9.779765129E0,-5.530411601E-1,9.798925465E0
6.890914630E-1,3.065803945E-1,9.806086540E0,-5.434698462E-1,9.825919003E0
6.915974520E-1,3.592225015E-1,9.806086540E0,-5.410770178E-1,9.827570319E0
6.941034420E-1,3.664009571E-1,9.825528145E0,-5.506483316E-1,9.847764547E0
6.966093790E-1,3.544368446E-1,9.832706451E0,-5.386841893E-1,9.853827799E0
6.991153170E-1,3.376871049E-1,9.835099220E0,-5.315057039E-1,9.855237570E0
7.016213580E-1,3.137588799E-1,9.835099220E0,-5.291129351E-1,9.854317927E0
7.041273480E-1,2.536391914E-1,9.803693771E0,-5.434698462E-1,9.822021374E0
7.066333380E-1,1.938186288E-1,9.763015747E0,-5.697908998E-1,9.781549152E0
7.091392750E-1,1.124626622E-1,9.729516029E0,-5.745765567E-1,9.747115893E0
7.116452130E-1,4.546362907E-2,9.669695854E0,-5.554339290E-1,9.685741670E0
7.141512540E-1,-4.067798331E-2,9.645767212E0,-5.362913609E-1,9.660749879E0
7.166572440E-1,-1.316052526E-1,9.621838570E0,-4.932205677E-1,9.635370462E0
7.191632330E-1,-2.033899277E-1,9.612267494E0,-4.716851711E-1,9.625982586E0
7.216691710E-1,-2.775674164E-1,9.629017830E0,-4.525425732E-1,9.643641575E0
7.241751080E-1,-3.711866140E-1,9.636196136E0,-4.310071766E-1,9.652969630E0
7.266811500E-1,-4.046861231E-1,9.631410599E0,-4.262215197E-1,9.649326700E0
7.291871400E-1,-4.573282301E-1,9.619445801E0,-4.214358926E-1,9.639527729E0
7.316930770E-1,-4.645066857E-1,9.607481956E0,-4.022932947E-1,9.627113581E0
7.341990150E-1,-4.477569461E-1,9.631410599E0,-3.831507266E-1,9.649422826E0
7.367050560E-1,-3.999004960E-1,9.652945518E0,-4.070789516E-1,9.669797871E0
7.392110460E-1,-3.329014480E-1,9.655338287E0,-4.501497746E-1,9.671557043E0
7.417170350E-1,-2.368894368E-1,9.672088623E0,-4.932205677E-1,9.687552914E0
7.442229730E-1,-1.363908947E-1,9.686445236E0,-5.386841893E-1,9.702371073E0
7.467289100E-1,-2.632104978E-2,9.712766647E0,-5.697908998E-1,9.729501036E0
7.492349520E-1,6.699903309E-2,9.717552185E0,-5.745765567E-1,9.734754622E0
7.517409420E-1,1.531406492E-1,9.719944954E0,-5.721837282E-1,9.737975980E0
7.542469310E-1,2.177468538E-1,9.724730492E0,-5.578267574E-1,9.743149774E0
7.567528690E-1,2.922234535E-1,9.722337723E0,-5.171487927E-1,9.740466530E0
7.592588060E-1,3.424727321E-1,9.729516029E0,-4.668995142E-1,9.746730985E0
7.617648480E-1,3.951148391E-1,9.734301567E0,-4.357928336E-1,9.752059174E0
7.642708380E-1,4.046861231E-1,9.736694336E0,-4.118646085E-1,9.753800280E0
7.667767750E-1,3.975076675E-1,9.724730492E0,-3.711866140E-1,9.739926847E0
7.692827130E-1,3.257229924E-1,9.710372925E0,-3.113660514E-1,9.720822322E0
7.717887540E-1,2.512463629E-1,9.705587387E0,-2.249253243E-1,9.711443902E0
7.742947440E-1,1.483550072E-1,9.684052467E0,-1.316052526E-1,9.686082869E0
7.768007330E-1,5.742774159E-2,9.643374443E0,-5.982056633E-2,9.643730974E0
7.793066710E-1,-4.785645287E-3,9.607481956E0,-3.589234129E-2,9.607550193E0
7.818126080E-1,-8.135596663E-2,9.562018394E0,-4.307080805E-2,9.562461486E0
7.843186500E-1,-1.076770201E-1,9.559625626E0,-8.135596663E-2,9.560578185E0
7.868246400E-1,-1.339980662E-1,9.550054550E0,-2.273181528E-1,9.553699332E0
7.893306290E-1,-1.507478207E-1,9.533304214E0,-3.999004960E-1,9.542878735E0
7.918365670E-1,-1.459621787E-1,9.506983757E0,-5.673980713E-1,9.525018934E0
