"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.122449245E2,2.830915833E1,-4.110137558E1,2.264343262E0
1.122548605E2,2.830915833E1,-4.110137558E1,2.264343262E0
1.122647975E2,2.843955994E1,-4.092867661E1,2.387512207E0
1.122747345E2,2.843955994E1,-4.092867661E1,2.387512207E0
1.122846705E2,2.866813660E1,-4.093482590E1,2.328369141E0
1.122946075E2,2.866813660E1,-4.093482590E1,2.328369141E0
1.123045445E2,2.834403992E1,-4.097743607E1,1.981201172E0
1.123144805E2,2.834403992E1,-4.097743607E1,1.981201172E0
1.123244175E2,2.836488342E1,-4.122911072E1,1.174804688E0
1.123343545E2,2.836488342E1,-4.122911072E1,1.174804688E0
1.123442905E2,2.814411926E1,-4.118114090E1,5.426635742E-1
1.123542275E2,2.814411926E1,-4.118114090E1,5.426635742E-1
1.123641645E2,2.793135071E1,-4.150269318E1,3.734130859E-1
1.123741005E2,2.793135071E1,-4.150269318E1,3.734130859E-1
1.123840375E2,2.737742615E1,-4.160187149E1,7.365722656E-1
1.123939745E2,2.737742615E1,-4.160187149E1,7.365722656E-1
1.124039105E2,2.744520569E1,-4.170979691E1,9.382934570E-1
1.124138475E2,2.744520569E1,-4.170979691E1,9.382934570E-1
1.124237845E2,2.743205261E1,-4.158488083E1,1.017578125E0
1.124337205E2,2.743205261E1,-4.158488083E1,1.017578125E0
1.124436575E2,2.756929016E1,-4.171532440E1,1.112426758E0
1.124535945E2,2.756929016E1,-4.171532440E1,1.112426758E0
1.124635305E2,2.754609680E1,-4.174069214E1,1.047607422E0
1.124734675E2,2.754609680E1,-4.174069214E1,1.047607422E0
1.124834045E2,2.749836731E1,-4.170120621E1,1.431823730E0
1.124933405E2,2.749836731E1,-4.170120621E1,1.431823730E0
1.125032775E2,2.735643005E1,-4.179647446E1,1.985839844E0
1.125132145E2,2.735643005E1,-4.179647446E1,1.985839844E0
1.125231505E2,2.711982727E1,-4.185954666E1,2.722595215E0
1.125330875E2,2.711982727E1,-4.185954666E1,2.722595215E0
1.125430245E2,2.714668274E1,-4.167848969E1,3.229919434E0
1.125529615E2,2.714668274E1,-4.167848969E1,3.229919434E0
1.125628975E2,2.710307312E1,-4.169766998E1,4.769958496E0
1.125728345E2,2.710307312E1,-4.169766998E1,4.769958496E0
1.125827715E2,2.700190735E1,-4.153111649E1,6.043579102E0
1.125927075E2,2.700190735E1,-4.153111649E1,6.043579102E0
1.126026445E2,2.665440369E1,-4.137192535E1,7.656372070E0
1.126125815E2,2.665440369E1,-4.137192535E1,7.656372070E0
1.126225175E2,2.651942444E1,-4.114183807E1,8.827026367E0
1.126324545E2,2.651942444E1,-4.114183807E1,8.827026367E0
1.126423915E2,2.661036682E1,-4.087899017E1,9.612731934E0
1.126523275E2,2.661036682E1,-4.087899017E1,9.612731934E0
1.126622645E2,2.651603699E1,-4.075061417E1,1.032427979E1
