"Time (s)","X (hPa)"
2.648272208E2,9.527351379E2
2.657565418E2,9.527352905E2
2.666860858E2,9.527352905E2
2.676156168E2,9.527349854E2
2.685452498E2,9.527349854E2
2.694747718E2,9.527351379E2
2.704042858E2,9.527351379E2
2.713337388E2,9.527362061E2
2.722631608E2,9.527369690E2
2.731926098E2,9.527379608E2
2.741220378E2,9.527388763E2
2.750516838E2,9.527388763E2
2.759814438E2,9.527363586E2
2.769111108E2,9.527360535E2
2.778407988E2,9.527296448E2
2.787704068E2,9.527273560E2
2.796998918E2,9.527239990E2
2.806294008E2,9.527238464E2
2.815587628E2,9.527176666E2
2.824883308E2,9.527120209E2
2.834178648E2,9.526975250E2
2.843473198E2,9.526879120E2
2.852767708E2,9.526798248E2
2.862062428E2,9.526694489E2
2.871356928E2,9.526685333E2
2.880652008E2,9.526682281E2
2.889948468E2,9.526601410E2
2.899242828E2,9.526538086E2
2.908537678E2,9.526512146E2
2.917834628E2,9.526416779E2
2.927130878E2,9.526303101E2
2.936427298E2,9.526238251E2
2.945722848E2,9.526091766E2
2.955017508E2,9.525942230E2
2.964312358E2,9.525785828E2
2.973607948E2,9.525626373E2
2.982904288E2,9.525405884E2
2.992199578E2,9.525231171E2
3.001494268E2,9.525034332E2
3.010789418E2,9.524849701E2
3.020085808E2,9.524735260E2
3.029380188E2,9.524601746E2
3.038674358E2,9.524494934E2
3.047968318E2,9.524395752E2
3.057263588E2,9.524310303E2
3.066557678E2,9.524266815E2
3.075851408E2,9.524230957E2
3.085145478E2,9.524230957E2
3.094438848E2,9.524261475E2
3.103732998E2,9.524261475E2
3.113028538E2,9.524265289E2
3.122323548E2,9.524298859E2
3.131618448E2,9.524310303E2
3.140914028E2,9.524354553E2
3.150208798E2,9.524358368E2
3.159503518E2,9.524432373E2
3.168798168E2,9.524507904E2
3.178091778E2,9.524607086E2
3.187385108E2,9.524660492E2
3.196679288E2,9.524761200E2
3.205973528E2,9.524859619E2
3.215266578E2,9.525024414E2
3.224559958E2,9.525194550E2
3.233853718E2,9.525429535E2
3.243148388E2,9.525653839E2
3.252443438E2,9.525861359E2
3.261737348E2,9.526101685E2
3.271031428E2,9.526311493E2
3.280325348E2,9.526561737E2
3.289620378E2,9.526825714E2
3.298915048E2,9.527091980E2
3.308209138E2,9.527317810E2
3.317502678E2,9.527603149E2
3.326794648E2,9.527907562E2
3.336087598E2,9.528173065E2
3.345381288E2,9.528373718E2
3.354675028E2,9.528598022E2
3.363970138E2,9.528791809E2
3.373264138E2,9.528930664E2
3.382556748E2,9.529103088E2
3.391849008E2,9.529213715E2
3.401141828E2,9.529350281E2
3.410433408E2,9.529545593E2
3.419727228E2,9.529737854E2
3.429019578E2,9.529913330E2
3.438312828E2,9.530030060E2
