"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.315911738E1,3.225077820E1,-3.564823532E1,2.665405273E-1
5.316905238E1,3.281224060E1,-3.514904404E1,-6.364135742E-1
5.317898838E1,3.281224060E1,-3.514904404E1,-6.364135742E-1
5.318892437E1,3.332008362E1,-3.459733963E1,-1.454650879E0
5.319885937E1,3.332008362E1,-3.459733963E1,-1.454650879E0
5.320879537E1,3.341261292E1,-3.436597443E1,-2.171752930E0
5.321873037E1,3.341261292E1,-3.436597443E1,-2.171752930E0
5.322866637E1,3.371736145E1,-3.438812256E1,-3.437133789E0
5.323860238E1,3.371736145E1,-3.438812256E1,-3.437133789E0
5.324853738E1,3.314027405E1,-3.453377533E1,-4.780700684E0
5.325847337E1,3.314027405E1,-3.453377533E1,-4.780700684E0
5.326840837E1,3.277613831E1,-3.472830582E1,-6.368896484E0
5.327834437E1,3.277613831E1,-3.472830582E1,-6.368896484E0
5.328827937E1,3.272377014E1,-3.444003296E1,-8.064453125E0
5.329821537E1,3.272377014E1,-3.444003296E1,-8.064453125E0
5.330815138E1,3.297660828E1,-3.370204163E1,-9.389587402E0
5.331808638E1,3.297660828E1,-3.370204163E1,-9.389587402E0
5.332802238E1,3.329801941E1,-3.319520187E1,-1.050329590E1
5.333795712E1,3.329801941E1,-3.319520187E1,-1.050329590E1
5.334789313E1,3.345433044E1,-3.262353897E1,-1.140521240E1
5.335782813E1,3.345433044E1,-3.262353897E1,-1.140521240E1
5.336776412E1,3.368458557E1,-3.227991486E1,-1.249731445E1
5.337770012E1,3.368458557E1,-3.227991486E1,-1.249731445E1
5.338763512E1,3.381571960E1,-3.168796539E1,-1.377905273E1
5.339757112E1,3.381571960E1,-3.168796539E1,-1.377905273E1
5.340750612E1,3.352223206E1,-3.117701340E1,-1.504565430E1
5.341744213E1,3.352223206E1,-3.117701340E1,-1.504565430E1
5.342737713E1,3.346018982E1,-3.063626099E1,-1.615350342E1
5.343731313E1,3.346018982E1,-3.063626099E1,-1.615350342E1
5.344724912E1,3.355513000E1,-2.983069611E1,-1.703131104E1
5.345718412E1,3.355513000E1,-2.983069611E1,-1.703131104E1
5.346712012E1,3.384669495E1,-2.942231750E1,-1.767541504E1
5.347705512E1,3.384669495E1,-2.942231750E1,-1.767541504E1
5.348699112E1,3.384669495E1,-2.942231750E1,-1.767541504E1
5.349692613E1,3.386564636E1,-2.940798187E1,-1.802075195E1
5.350686213E1,3.386564636E1,-2.940798187E1,-1.802075195E1
5.351679812E1,3.429258728E1,-2.906126022E1,-1.816711426E1
5.352673312E1,3.429258728E1,-2.906126022E1,-1.816711426E1
5.353666912E1,3.439842224E1,-2.887196732E1,-1.830493164E1
5.354660412E1,3.439842224E1,-2.887196732E1,-1.830493164E1
5.355654012E1,3.472117615E1,-2.856908798E1,-1.846203613E1
5.356647613E1,3.472117615E1,-2.856908798E1,-1.846203613E1
5.357641113E1,3.501191711E1,-2.849081039E1,-1.831164551E1
5.358634713E1,3.501191711E1,-2.849081039E1,-1.831164551E1
5.359628212E1,3.504847717E1,-2.865468597E1,-1.780706787E1
5.360621812E1,3.504847717E1,-2.865468597E1,-1.780706787E1
5.361615312E1,3.503639221E1,-2.888975906E1,-1.680584717E1
5.362608912E1,3.503639221E1,-2.888975906E1,-1.680584717E1
5.363602512E1,3.530070496E1,-2.932899094E1,-1.604101562E1
5.364596013E1,3.530070496E1,-2.932899094E1,-1.604101562E1
5.365589613E1,3.505659485E1,-2.971745682E1,-1.489630127E1
5.366583112E1,3.505659485E1,-2.971745682E1,-1.489630127E1
5.367576712E1,3.494218445E1,-3.020187378E1,-1.377691650E1
5.368570212E1,3.494218445E1,-3.020187378E1,-1.377691650E1
5.369563812E1,3.474644470E1,-3.094651413E1,-1.256750488E1
5.370557412E1,3.474644470E1,-3.094651413E1,-1.256750488E1
5.371550913E1,3.456324768E1,-3.165584183E1,-1.101715088E1
5.372544513E1,3.456324768E1,-3.165584183E1,-1.101715088E1
5.373538012E1,3.424809265E1,-3.267259598E1,-8.993469238E0
5.374531612E1,3.424809265E1,-3.267259598E1,-8.993469238E0
5.375525212E1,3.327268982E1,-3.384108734E1,-7.101196289E0
5.376518712E1,3.327268982E1,-3.384108734E1,-7.101196289E0
5.377512312E1,3.238212585E1,-3.490997314E1,-4.958618164E0
5.378505813E1,3.238212585E1,-3.490997314E1,-4.958618164E0
5.379499413E1,3.195921326E1,-3.548879623E1,-4.521606445E0
5.380492913E1,3.195921326E1,-3.548879623E1,-4.521606445E0
5.381486512E1,3.215565491E1,-3.552054596E1,-4.288391113E0
5.382480112E1,3.215565491E1,-3.552054596E1,-4.288391113E0
5.383473612E1,3.241844177E1,-3.545291138E1,-3.374328613E0
5.384467212E1,3.241844177E1,-3.545291138E1,-3.374328613E0
5.385460712E1,3.280528259E1,-3.513537979E1,-3.170227051E0
5.386454313E1,3.280528259E1,-3.513537979E1,-3.170227051E0
5.387447813E1,3.302055359E1,-3.496496201E1,-3.042846680E0
5.388441413E1,3.302055359E1,-3.496496201E1,-3.042846680E0
5.389435012E1,3.275065613E1,-3.486413574E1,-3.778503418E0
5.390428512E1,3.275065613E1,-3.486413574E1,-3.778503418E0
5.391422112E1,3.235960388E1,-3.528581238E1,-4.234680176E0
5.392415612E1,3.235960388E1,-3.528581238E1,-4.234680176E0
5.393409212E1,3.195341492E1,-3.571368408E1,-3.784545898E0
5.394402713E1,3.195341492E1,-3.571368408E1,-3.784545898E0
5.395396313E1,3.145176697E1,-3.629763794E1,-2.868713379E0
5.396389912E1,3.145176697E1,-3.629763794E1,-2.868713379E0
5.397383412E1,3.107887268E1,-3.643470001E1,-1.748962402E0
5.398377012E1,3.107887268E1,-3.643470001E1,-1.748962402E0
5.399370512E1,3.074913025E1,-3.700598145E1,-7.830810547E-2
5.400364112E1,3.074913025E1,-3.700598145E1,-7.830810547E-2
5.401357713E1,2.996745300E1,-3.733478928E1,1.345031738E0
5.402351213E1,2.996745300E1,-3.733478928E1,1.345031738E0
5.403344813E1,2.956697083E1,-3.765391159E1,2.578125000E0
5.404338312E1,2.956697083E1,-3.765391159E1,2.578125000E0
5.405331912E1,2.905015564E1,-3.800394821E1,3.374694824E0
5.406325412E1,2.905015564E1,-3.800394821E1,3.374694824E0
5.407319012E1,2.899293518E1,-3.801507568E1,4.054504395E0
5.408312612E1,2.899293518E1,-3.801507568E1,4.054504395E0
5.409306113E1,2.900886536E1,-3.800580597E1,4.519165039E0
5.410299713E1,2.900886536E1,-3.800580597E1,4.519165039E0
5.411293212E1,2.919770813E1,-3.797154617E1,4.621276855E0
5.412286812E1,2.919770813E1,-3.797154617E1,4.621276855E0
5.413280312E1,2.914009094E1,-3.783221054E1,4.400878906E0
5.414273912E1,2.914009094E1,-3.783221054E1,4.400878906E0
5.415267512E1,2.907301331E1,-3.799232864E1,4.250671387E0
5.416261013E1,2.907301331E1,-3.799232864E1,4.250671387E0
5.417254613E1,2.888563538E1,-3.796768951E1,3.826782227E0
5.418248112E1,2.888563538E1,-3.796768951E1,3.826782227E0
5.419241712E1,2.864170837E1,-3.820644760E1,3.341125488E0
5.420235212E1,2.864170837E1,-3.820644760E1,3.341125488E0
5.421228812E1,2.842741394E1,-3.853275681E1,2.464294434E0
5.422222412E1,2.842741394E1,-3.853275681E1,2.464294434E0
5.423215913E1,2.813825989E1,-3.879293442E1,1.506042480E0
5.424209513E1,2.813825989E1,-3.879293442E1,1.506042480E0
5.425203013E1,2.792860413E1,-3.887043762E1,4.962158203E-1
5.426196612E1,2.792860413E1,-3.887043762E1,4.962158203E-1
