"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.779879875E0,2.255509644E0,8.396040344E0,-2.915936279E0
1.789815875E0,2.975811768E0,9.775122528E0,-5.972579956E-1
1.799751875E0,2.348316650E0,1.063747925E1,-7.753875732E-2
1.809687875E0,2.119143219E0,1.051712952E1,-6.562353516E-1
1.819623875E0,2.517913971E0,1.015503250E1,-6.469546509E-1
1.829559875E0,2.273621979E0,1.018736526E1,-6.698570251E-1
1.839495875E0,1.791624298E0,1.073851913E1,-1.168919220E0
1.849430875E0,1.731449432E0,1.078058167E1,-1.428928528E0
1.859366875E0,2.048789520E0,1.050769913E1,-1.192120972E0
1.869302875E0,2.477947083E0,1.036295013E1,-8.593629456E-1
1.879238875E0,2.655028839E0,1.032717453E1,-1.157692566E0
1.889174875E0,2.310146027E0,1.007794281E1,-2.455044708E0
1.899110875E0,2.156565399E0,9.740993500E0,-3.369792480E0
1.909045875E0,2.491419067E0,9.517957306E0,-2.979404297E0
1.918981875E0,2.675985260E0,9.588161316E0,-1.643881531E0
1.928917875E0,2.237097931E0,1.003288651E1,-8.777746582E-1
1.938853875E0,1.459764404E0,1.036594391E1,-5.580395508E-1
1.948789875E0,6.927593994E-1,1.049976562E1,-4.308041382E-1
1.958725875E0,-1.577719116E-1,1.064436493E1,-1.189875641E0
1.968661875E0,-6.948550415E-1,1.057745407E1,-2.422113190E0
1.978596875E0,-9.247769165E-1,1.067130890E1,-3.061284027E0
1.988532875E0,-7.547305298E-1,1.092069031E1,-2.900967407E0
1.998468875E0,-4.644841003E-1,1.115495316E1,-2.533331909E0
2.008404875E0,-1.592687988E-1,1.131497040E1,-2.371069336E0
2.018340875E0,6.237528992E-1,1.136526581E1,-2.158361664E0
2.028276875E0,1.663939819E0,1.123443787E1,-2.650089111E0
2.038212875E0,2.620600433E0,1.105645798E1,-3.466940460E0
2.048147875E0,3.757785645E0,1.060484711E1,-3.667822723E0
2.058083875E0,4.830904083E0,1.034783157E1,-3.737427979E0
2.068019875E0,5.683531036E0,1.025607239E1,-4.025129700E0
2.077955875E0,6.455924835E0,1.002570145E1,-4.661755829E0
2.087891875E0,6.990612946E0,9.494007111E0,-5.504054260E0
2.097827875E0,7.294331360E0,8.489745483E0,-5.707630920E0
2.107762875E0,7.359595642E0,7.303462372E0,-5.647456055E0
2.117698875E0,7.332202606E0,6.606811066E0,-5.753884735E0
2.127634875E0,7.393574982E0,6.582262115E0,-5.512736206E0
2.137570875E0,7.213499451E0,6.526278534E0,-5.411846008E0
2.147506875E0,6.951843567E0,6.171516266E0,-5.527555389E0
