"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.420540958E0,-1.810734160E-2,2.736274242E0,2.597795427E-1
3.430476958E0,-1.254365891E-1,2.081092834E0,3.174619973E-1
3.440412958E0,-2.166117728E-1,1.519664288E0,3.433644474E-1
3.450348958E0,-2.761927247E-1,1.074727774E0,3.632768989E-1
3.460284958E0,-2.988937795E-1,6.299888492E-1,3.733862638E-1
3.470220958E0,-2.466470599E-1,2.950563729E-1,3.721857369E-1
3.480156958E0,-1.213226989E-1,8.701954782E-2,2.892796397E-1
3.490092958E0,6.673265994E-2,5.917544290E-2,1.555375606E-1
3.500028958E0,2.901045084E-1,2.159424126E-1,-7.083034609E-3
3.509963958E0,3.569966555E-1,2.278864980E-1,-1.040567309E-1
3.519899958E0,3.750254512E-1,2.183310837E-1,-1.204319745E-1
3.529835958E0,3.984191716E-1,2.305012345E-1,-2.261778563E-1
3.539771958E0,4.298394024E-1,2.123408765E-1,-2.574223280E-1
3.549707958E0,4.749464989E-1,1.996953040E-1,-2.445107698E-1
3.559643958E0,5.873814225E-1,2.713910639E-1,-2.322029769E-1
3.569579958E0,7.015122175E-1,3.820531666E-1,-2.409868836E-1
3.579515958E0,8.402115107E-1,5.327228308E-1,-3.025770187E-1
3.589451958E0,9.971821904E-1,7.280427217E-1,-3.936685026E-1
3.599387958E0,1.233617663E0,1.020955682E0,-3.735597730E-1
3.609322958E0,1.268180370E0,9.925102592E-1,-4.258211851E-1
3.619258958E0,1.183303595E0,7.864888906E-1,-4.809392989E-1
3.629194958E0,1.080327272E0,6.317549944E-1,-4.082871974E-1
3.639130958E0,9.112234116E-1,3.690858483E-1,-2.606585920E-1
3.649066958E0,6.537618041E-1,-4.358338937E-2,-8.453686535E-2
3.659002958E0,3.952826262E-1,-4.091792107E-1,9.688992053E-2
3.668938958E0,1.955698878E-1,-6.893199086E-1,2.405837327E-1
3.678874958E0,6.547206640E-2,-8.190094829E-1,2.925369442E-1
3.688810958E0,-1.744769141E-2,-8.131824136E-1,2.792826891E-1
3.698746958E0,-1.139430776E-1,-7.666482329E-1,2.824955285E-1
3.708682958E0,-2.332871407E-1,-7.224422693E-1,3.081382811E-1
3.718617958E0,-3.535967767E-1,-6.887671351E-1,3.239342868E-1
3.728553958E0,-4.522861838E-1,-6.553413868E-1,3.622440994E-1
3.738489958E0,-5.461399555E-1,-6.683437228E-1,3.809016943E-1
3.748425958E0,-6.325500011E-1,-7.376326919E-1,3.974622488E-1
3.758361958E0,-7.027778625E-1,-8.239441514E-1,4.146074057E-1
3.768297958E0,-7.427197695E-1,-9.099590182E-1,4.428257048E-1
3.778233958E0,-7.685263753E-1,-1.009159684E0,4.787371159E-1
3.788169958E0,-7.748014331E-1,-1.121890068E0,5.151467919E-1
3.798105958E0,-6.077203155E-1,-9.959329963E-1,6.101460457E-1
3.808041958E0,-1.914406121E-1,-4.079796076E-1,6.917857528E-1
3.817977958E0,-9.553750604E-2,-3.829821050E-1,4.521273375E-1
3.827913958E0,-9.838765115E-2,-5.641151071E-1,2.178930044E-1
3.837848958E0,-1.171099469E-1,-7.165456414E-1,1.389158964E-1
3.847784958E0,-1.432039887E-1,-7.741563916E-1,1.467227191E-1
