"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.283176136E2,4.780567516E1,9.095338248E0,6.398682118E2,3.100000024E-1,2.861718750E2,1.000000000E1,1.000000000E1
2.293176157E2,4.780567319E1,9.095333889E0,6.400171491E2,8.299999833E-1,2.988281250E2,1.000000000E1,1.000000000E1
2.303176173E2,4.780567520E1,9.095326932E0,6.398616968E2,9.200000167E-1,3.041015625E2,1.000000000E1,1.000000000E1
2.313176188E2,4.780568254E1,9.095315617E0,6.397301547E2,9.200000167E-1,3.178125000E2,1.000000000E1,1.000000000E1
2.323176205E2,4.780569281E1,9.095304972E0,6.394482703E2,1.309999943E0,3.266015625E2,1.000000000E1,1.000000000E1
2.333176215E2,4.780569574E1,9.095295249E0,6.395673616E2,7.300000191E-1,3.146484375E2,1.000000000E1,1.000000000E1
2.343176239E2,4.780570068E1,9.095285526E0,6.394331021E2,1.110000014E0,3.100781250E2,1.000000000E1,1.000000000E1
2.353176256E2,4.780570802E1,9.095275300E0,6.392961797E2,1.009999990E0,3.048046875E2,1.000000000E1,1.000000000E1
2.363176271E2,4.780571099E1,9.095265409E0,6.393399551E2,1.009999990E0,3.104296875E2,1.000000000E1,1.000000000E1
2.373176278E2,4.780571321E1,9.095257446E0,6.394702927E2,5.699999928E-1,3.002343750E2,1.000000000E1,1.000000000E1
2.383176295E2,4.780571871E1,9.095247556E0,6.393496432E2,1.210000038E0,3.055078125E2,1.000000000E1,1.000000000E1
2.393176322E2,4.780572684E1,9.095237246E0,6.392922679E2,1.070000052E0,3.220312500E2,1.000000000E1,1.000000000E1
2.403176329E2,4.780573140E1,9.095225511E0,6.392183958E2,1.070000052E0,3.041015625E2,1.000000000E1,1.000000000E1
2.413176351E2,4.780573606E1,9.095211346E0,6.391554343E2,1.299999952E0,2.991796875E2,1.000000000E1,1.000000000E1
2.423176368E2,4.780574096E1,9.095196677E0,6.389755281E2,1.299999952E0,2.935546875E2,1.000000000E1,1.000000000E1
2.433176377E2,4.780574825E1,9.095185110E0,6.390257317E2,1.129999995E0,3.153515625E2,1.000000000E1,1.000000000E1
2.443176389E2,4.780575072E1,9.095183266E0,6.389293451E2,1.039999962E0,3.237890625E2,1.000000000E1,1.000000000E1
2.453176409E2,4.780575370E1,9.095182680E0,6.389991277E2,1.009999990E0,7.031250000E-1,1.000000000E1,1.000000000E1
2.463176423E2,4.780576824E1,9.095189469E0,6.388576543E2,2.470000029E0,1.828125000E1,1.000000000E1,1.000000000E1
2.473176436E2,4.780578756E1,9.095200282E0,6.389348830E2,2.279999971E0,1.828125000E1,1.000000000E1,1.000000000E1
2.483176453E2,4.780580843E1,9.095207993E0,6.388185112E2,2.430000067E0,1.371093750E1,1.000000000E1,1.000000000E1
2.493176481E2,4.780582419E1,9.095213274E0,6.387655210E2,1.620000005E0,1.687500000E1,1.000000000E1,1.000000000E1
2.503176497E2,4.780582553E1,9.095211010E0,6.388647483E2,1.620000005E0,1.652343750E1,1.000000000E1,1.000000000E1
2.513176507E2,4.780582469E1,9.095197599E0,6.388837489E2,9.599999785E-1,3.297656250E2,1.000000000E1,1.000000000E1
2.523176523E2,4.780581757E1,9.095179494E0,6.384914913E2,7.799999714E-1,2.555859375E2,1.000000000E1,1.000000000E1
2.533176544E2,4.780581757E1,9.095179494E0,6.386770035E2,0.000000000E0,2.833593750E2,1.000000000E1,1.000000000E1
2.543176554E2,4.780579921E1,9.095155438E0,6.387200387E2,7.699999809E-1,2.865234375E2,1.000000000E1,1.000000000E1
2.553176571E2,4.780579335E1,9.095141105E0,6.384666206E2,7.699999809E-1,2.875781250E2,1.000000000E1,1.000000000E1
2.563176588E2,4.780578991E1,9.095127024E0,6.385908103E2,7.900000215E-1,2.928515625E2,1.000000000E1,1.000000000E1
2.573176607E2,4.780579125E1,9.095116546E0,6.384857137E2,8.100000024E-1,3.062109375E2,1.000000000E1,1.000000000E1
2.583176624E2,4.780579465E1,9.095105315E0,6.385599897E2,1.059999943E0,3.199218750E2,1.000000000E1,1.000000000E1
2.593176640E2,4.780580441E1,9.095093329E0,6.384088256E2,1.059999943E0,3.304687500E2,1.000000000E1,1.000000000E1
2.603176653E2,4.780581468E1,9.095066423E0,6.384994315E2,1.250000000E0,3.206250000E2,1.000000000E1,1.000000000E1
2.613176670E2,4.780582159E1,9.095044294E0,6.385320695E2,1.039999962E0,3.157031250E2,1.000000000E1,1.000000000E1
2.623176687E2,4.780582989E1,9.095024681E0,6.385651359E2,1.259999990E0,3.209765625E2,1.000000000E1,1.000000000E1
2.633176703E2,4.780583215E1,9.095014203E0,6.385248197E2,1.039999962E0,3.367968750E2,1.000000000E1,1.000000000E1
2.643176720E2,4.780583249E1,9.095014371E0,6.384266286E2,5.299999714E-1,3.515625000E2,1.000000000E1,1.000000000E1
2.653176728E2,4.780583278E1,9.095016886E0,6.384892880E2,2.700000107E-1,3.589453125E2,1.000000000E1,1.000000000E1
2.663176743E2,4.780583278E1,9.095016886E0,6.385066585E2,0.000000000E0,3.578906250E2,1.000000000E1,1.000000000E1
2.673176762E2,4.780582876E1,9.095021579E0,6.384731837E2,1.500000060E-1,3.515625000E-1,1.000000000E1,1.000000000E1
2.683176783E2,4.780583400E1,9.095026106E0,6.384972065E2,1.500000060E-1,1.300781250E1,1.000000000E1,1.000000000E1
2.693176794E2,4.780584318E1,9.095031135E0,6.384717422E2,1.049999952E0,9.140625000E0,1.000000000E1,1.000000000E1
2.703176808E2,4.780584867E1,9.095035996E0,6.384597480E2,1.049999952E0,8.789062500E0,1.000000000E1,1.000000000E1
2.713176823E2,4.780584867E1,9.095035996E0,6.384482453E2,0.000000000E0,5.625000000E0,1.000000000E1,1.000000000E1
2.723176842E2,4.780584867E1,9.095035996E0,6.385015027E2,0.000000000E0,5.625000000E0,1.000000000E1,1.000000000E1
2.733176860E2,4.780584410E1,9.095031638E0,6.384650279E2,1.279999971E0,6.679687500E0,1.000000000E1,1.000000000E1
2.743176875E2,4.780585210E1,9.095034907E0,6.384442051E2,1.279999971E0,9.140625000E0,1.000000000E1,1.000000000E1
2.753176889E2,4.780585357E1,9.095033482E0,6.384231768E2,2.399999946E-1,4.570312500E0,1.000000000E1,1.000000000E1
2.763176903E2,4.780585805E1,9.095029207E0,6.383748489E2,9.900000095E-1,3.508593750E2,1.000000000E1,1.000000000E1
2.773176928E2,4.780586367E1,9.095019316E0,6.385054668E2,9.599999785E-1,3.301171875E2,1.000000000E1,1.000000000E1
2.783176938E2,4.780586648E1,9.095011354E0,6.385383019E2,9.599999785E-1,3.332812500E2,1.000000000E1,1.000000000E1
2.793176961E2,4.780586996E1,9.095003475E0,6.387092528E2,8.899999857E-1,3.248437500E2,1.000000000E1,1.000000000E1
2.803176975E2,4.780587385E1,9.094989644E0,6.385523734E2,8.899999857E-1,3.160546875E2,1.000000000E1,1.000000000E1
2.813176985E2,4.780587285E1,9.094984951E0,6.386365792E2,5.500000119E-1,3.146484375E2,1.000000000E1,1.000000000E1
2.823177006E2,4.780587071E1,9.094980592E0,6.385904861E2,7.900000215E-1,3.132421875E2,1.000000000E1,1.000000000E1
2.833177019E2,4.780587151E1,9.094969947E0,6.387168669E2,7.900000215E-1,3.167578125E2,1.000000000E1,1.000000000E1
2.843177040E2,4.780586924E1,9.094959386E0,6.392542261E2,7.900000215E-1,3.044531250E2,1.000000000E1,1.000000000E1
2.853177048E2,4.780586438E1,9.094943041E0,6.392496997E2,9.300000072E-1,2.981250000E2,1.000000000E1,1.000000000E1
2.863177063E2,4.780586354E1,9.094923427E0,6.389726310E2,1.289999962E0,2.956640625E2,1.000000000E1,1.000000000E1
2.873177077E2,4.780586220E1,9.094896521E0,6.392465052E2,1.289999962E0,2.970703125E2,1.000000000E1,1.000000000E1
2.883177097E2,4.780586631E1,9.094867939E0,6.388463483E2,1.620000005E0,3.016406250E2,1.000000000E1,1.000000000E1
2.893177110E2,4.780586648E1,9.094851343E0,6.392688617E2,7.500000000E-1,2.942578125E2,1.000000000E1,1.000000000E1
2.903177125E2,4.780586300E1,9.094839273E0,6.391747648E2,8.299999833E-1,2.921484375E2,1.000000000E1,1.000000000E1
2.913177149E2,4.780585449E1,9.094822928E0,6.393570989E2,8.299999833E-1,2.538281250E2,1.000000000E1,1.000000000E1
2.923177166E2,4.780584703E1,9.094804656E0,6.394804490E2,8.999999762E-1,2.594531250E2,1.000000000E1,1.000000000E1
