"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.880480875E0,5.297869742E-1,1.008812515E0,1.021056000E0
1.890416875E0,1.340095581E-1,7.504567999E-1,-2.674628998E-1
1.900352875E0,1.552479610E-2,4.439282137E-1,-9.871022420E-1
1.910287875E0,3.564614689E-1,2.734883094E-1,-3.646311986E-1
1.920223875E0,4.485409360E-1,4.051611739E-1,1.039561560E0
1.930159875E0,-7.913285449E-2,9.123077291E-1,1.788757116E0
1.940095875E0,-8.753926487E-1,1.229256054E0,2.214471838E0
1.950031875E0,-1.684610019E0,1.418774253E0,2.382497134E0
1.959967875E0,-2.561081918E0,1.587688619E0,1.646140603E0
1.969903875E0,-3.115808144E0,1.586719151E0,5.719290268E-1
1.979838875E0,-3.399382900E0,1.777451817E0,1.822822702E-1
1.989774875E0,-3.287504322E0,2.118701169E0,5.331944391E-1
1.999710875E0,-3.147055664E0,2.426880425E0,1.019312945E0
2.009646875E0,-2.957790064E0,2.695048937E0,1.318552100E0
2.019582875E0,-2.276532138E0,2.844673923E0,1.652638321E0
2.029518875E0,-1.420808499E0,2.842686455E0,1.213346657E0
2.039454875E0,-6.492759955E-1,2.794192572E0,6.209345412E-1
2.049389875E0,3.057324877E-1,2.499178323E0,6.340270418E-1
2.059325875E0,1.208730280E0,2.450101472E0,7.119879681E-1
2.069261875E0,1.913629669E0,2.503654366E0,5.479086649E-1
2.079197875E0,2.572470540E0,2.392407580E0,2.321607739E-2
2.089133875E0,3.000216292E0,1.944480456E0,-6.317998374E-1
2.099069875E0,3.257124821E0,1.004263381E0,-6.005973405E-1
2.109004875E0,3.254412882E0,-5.466854274E-2,-4.475797999E-1
2.118940875E0,3.249346562E0,-5.686633569E-1,-4.144611704E-1
2.128876875E0,3.284614336E0,-4.743957156E-1,-4.188302100E-2
2.138812875E0,3.083543500E0,-4.818748891E-1,1.153234649E-1
2.148748875E0,2.815518244E0,-7.942518604E-1,1.069385576E-1
2.158684875E0,2.463728116E0,-1.345646051E0,1.235458195E-1
2.168620875E0,2.128541741E0,-1.836905721E0,-6.140570462E-2
2.178556875E0,1.681131510E0,-2.217485785E0,-4.383868074E-1
2.188491875E0,1.241637533E0,-2.565706773E0,-6.704206967E-1
2.198427875E0,7.050359210E-1,-2.791749020E0,-4.887401050E-1
2.208363875E0,8.253929615E-3,-2.530484315E0,-5.500879222E-1
2.218299875E0,-3.477646127E-1,-1.861046535E0,-7.379437584E-1
2.228235875E0,-3.248914745E-1,-1.680023755E0,-4.118468803E-1
2.238171875E0,-4.615061134E-1,-2.146060292E0,-2.169755548E-1
2.248106875E0,-6.416529804E-1,-2.558152170E0,-2.951949281E-1
2.258042875E0,-8.958829004E-1,-2.676614420E0,4.505864382E-2
2.267978875E0,-1.339067348E0,-2.612912514E0,1.164320970E-1
2.277914583E0,-1.548430998E0,-2.462643165E0,-2.196874934E-1
2.287850583E0,-1.854754054E0,-2.157865235E0,-1.598921120E-2
2.297786583E0,-2.230451109E0,-1.868929167E0,6.300667226E-2
2.307722583E0,-2.410890921E0,-1.650152085E0,3.604913700E-1
2.317658583E0,-2.963289371E0,-1.262616758E0,9.167995602E-1
2.327593583E0,-3.369940123E0,-6.984037167E-1,9.146255654E-1
2.337529583E0,-3.356817801E0,-4.278232276E-2,1.483853179E0
2.347465583E0,-2.275349831E0,3.610294307E0,-1.210036840E0
2.357401583E0,-3.417522717E0,1.471876912E0,1.606468706E0
2.367337583E0,-3.106508147E0,-8.446384871E-1,1.728098978E0
2.377273583E0,-1.438241973E0,1.339427537E0,1.581033903E0
2.387209583E0,-2.052075363E0,1.160339600E0,2.650639334E0
2.397144583E0,-4.437139133E-1,4.206261823E-1,2.069314417E0
2.407080583E0,7.550304919E-2,-3.277419922E-1,1.999749507E0
2.417016583E0,3.802993977E-1,-7.952593356E-1,1.430698480E0
2.426952583E0,2.508625084E-1,-4.294475842E-1,5.995097584E-1
2.436888583E0,6.391620666E-2,1.462391558E-1,2.667920780E-1
2.446824583E0,-5.765895501E-1,9.981878319E-1,6.192084432E-1
2.456760583E0,-9.832575515E-1,1.397892677E0,3.576624870E-1
2.466695583E0,-1.554219157E-1,8.114514452E-1,3.251303333E-1
2.476631583E0,6.690501094E-1,-5.189962301E-1,8.577754265E-1
2.486567583E0,9.340745741E-1,-1.352013084E0,9.360690594E-2
2.496503583E0,1.210619223E0,-1.674784650E0,-1.077208566E0
2.506439583E0,1.382130337E0,-2.162749707E0,-1.426712433E0
2.516375583E0,1.616162220E0,-2.728042144E0,-1.309102122E0
2.526311583E0,2.074344192E0,-3.276024776E0,-1.131656084E0
2.536247583E0,2.362079827E0,-3.955700738E0,-8.221196902E-1
2.546182583E0,1.944374621E0,-4.148112432E0,-9.777567834E-1
2.556118583E0,1.724291271E0,-3.859124616E0,-1.000613549E0
2.566054583E0,1.223487775E0,-3.279336347E0,-8.684132659E-1
2.575990583E0,5.455428815E-1,-2.517872163E0,-7.571214563E-1
2.585926583E0,2.117931676E-1,-1.525059384E0,-3.855437654E-1
2.595862583E0,6.976137578E-2,-4.452917844E-1,-1.427188396E-1
2.605798583E0,-4.745600224E-3,2.637295988E-1,-1.640763795E-1
2.615734583E0,-9.215211868E-2,3.143916294E-1,-8.327078283E-2
2.625669583E0,2.624440885E-1,5.314388126E-2,7.220258832E-1
2.635605583E0,5.899402052E-1,-2.365765911E-1,9.580586833E-1
2.645541583E0,3.695668334E-1,-7.576038516E-1,4.510132849E-1
2.655477583E0,5.407008022E-1,-8.391555530E-1,-3.013128698E-2
2.665413583E0,5.640405482E-1,-3.228855872E-1,1.075319915E0
2.675349583E0,-3.055895233E-1,3.045767856E-1,2.031756581E0
2.685285583E0,-1.231238552E0,1.045782121E0,1.230940636E0
2.695221583E0,-1.685585627E0,1.550414958E0,-2.388844872E-1
2.705156583E0,-2.102105310E0,1.320684287E0,-6.232447761E-1
2.715092583E0,-1.853549820E0,6.987615663E-1,-4.935055858E-1
2.725028583E0,-1.476799682E0,-5.539593637E-2,-4.855007476E-1
2.734964583E0,-8.375121930E-1,-5.175738949E-1,1.474083066E-3
2.744900583E0,-2.120296875E-1,-9.615062016E-1,-2.633644402E-2
2.754836583E0,-1.518960446E-2,-1.096326038E0,-7.237151438E-1
2.764772583E0,6.515552402E-2,-1.934923766E0,-1.243623832E0
2.774708583E0,-1.480143705E-1,-3.046461335E0,-1.569980326E0
2.784643583E0,-5.725742671E-1,-3.714891640E0,-2.028811339E0
2.794579583E0,-1.514299631E0,-4.453719497E0,-2.453831996E0
2.804515583E0,-1.959979378E0,-5.025768392E0,-2.204064671E0
2.814451583E0,-1.518604935E0,-5.224125243E0,-1.506158552E0
